"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 09:27:12 WIB 2023","Thu Apr 13 09:27:31 WIB 2023","19323","","XL Single Approval","","XL Single Approval","Able to edit data Group Approval","Able to edit data Group Approval",""
"passed","Thu Apr 13 09:33:15 WIB 2023","Thu Apr 13 09:33:24 WIB 2023","8253","","XL Single Approval","","XL Single Approval","Able to duplicate the Document Category","Able to duplicate the Document Category",""
"passed","Thu Apr 13 10:42:07 WIB 2023","Thu Apr 13 10:42:21 WIB 2023","14217","","XL Single Approval","","XL Single Approval","Dapat tambah data approval pada halaman Group Approval","Dapat tambah data approval pada halaman Group Approval",""
"passed","Thu Apr 13 09:28:24 WIB 2023","Thu Apr 13 09:28:34 WIB 2023","9832","","XL Single Approval","","XL Single Approval","Able to access Group Approval page","Able to access Group Approval page",""
"passed","Thu Apr 13 09:34:10 WIB 2023","Thu Apr 13 09:34:18 WIB 2023","7647","","XL Single Approval","","XL Single Approval","Can show the document category list","Can show the document category list",""
"passed","Thu Apr 13 09:34:35 WIB 2023","Thu Apr 13 09:34:51 WIB 2023","15460","","XL Single Approval","","XL Single Approval","Create Document Category [Text Area]","Create Document Category [Text Area]",""
"passed","Thu Apr 13 09:33:40 WIB 2023","Thu Apr 13 09:33:53 WIB 2023","13177","","XL Single Approval","","XL Single Approval","Search Document Category","Search Document Category",""
"passed","Thu Apr 13 09:32:49 WIB 2023","Thu Apr 13 09:32:59 WIB 2023","9786","","XL Single Approval","","XL Single Approval","Able to delete Document Category","Able to delete Document Category",""
"passed","Thu Apr 13 09:27:48 WIB 2023","Thu Apr 13 09:28:05 WIB 2023","17027","","XL Single Approval","","XL Single Approval","Able to remove data Group Approval","Able to remove data Group Approval",""
"passed","Thu Apr 13 09:32:20 WIB 2023","Thu Apr 13 09:32:33 WIB 2023","13114","","XL Single Approval","","XL Single Approval","Able to edit Document Category","Able to edit Document Category",""
